,Address,Longitude,Latitude,Rent,URL,Type
99,"1201 E 116th Ter, Kansas City, MO 64131",-94.576595,38.915813,$849,https://www.apartments.com/briarwood-gardens-grandview-mo/prpwr1t/,apartment
100,"1500 E 46th St, Kansas City, MO 64110",-94.56712726402152,39.043427963271014,$775,https://www.apartments.com/province-of-briarcliff-kansas-city-mo/8s9dn03/,apartment
101,"8900 Old Santa Fe Rd, Kansas City, MO 64138",-94.502978,38.961842,$699 - 750,https://www.apartments.com/bennington-ridge-kansas-city-mo/4m7swwj/,apartment
102,"2200 W 47th Pl, Westwood, KS 66205",-94.6096451,39.0431121,"$1,625 - 1,875",https://www.apartments.com/plaza-east-kansas-city-mo/y724gjs/,apartment
103,"1770 Diamond Pky, North Kansas City, MO 64116",-94.5623371,39.1425465,"$1,331 - 1,561",https://www.apartments.com/heights-at-linden-square-gladstone-mo/974hbt7/,apartment
104,"601 NE 70th St, Gladstone, MO 64118",-94.57474183753553,39.2204059,"$1,105 - 1,184",https://www.apartments.com/candlelite-apartments-grandview-mo/71q3qqx/,apartment
105,"2600 City View Dr, North Kansas City, MO 64116",-94.578441,39.147817,"$1,295 - 1,490",https://www.apartments.com/meridian-at-view-high-lees-summit-mo/5445cmn/,apartment
106,"13615 White Ave, Grandview, MO 64030",-94.52380676666667,38.8774947,$840,https://www.apartments.com/backyard-at-one-north-north-kansas-city-mo/16l2f57/,apartment
107,"8620 W Utopia Dr, Raytown, MO 64138",-94.4811744,38.9675222,"$640 - 1,325",https://www.apartments.com/andover-park-kansas-city-mo/h2lp802/,apartment
108,"6522 E 125th St, Grandview, MO 64030",-94.51782363823925,38.89761944354495,$695,https://www.apartments.com/the-rochester-kansas-city-mo/f8jjd5t/,apartment
109,"5908 E 126th St, Grandview, MO 64030",-94.52378844897959,38.89485446938776,$735,https://www.apartments.com/cityview-north-kansas-city-mo/03mc2b1/,apartment
110,"101 W 11th St, Kansas City, MO 64105",-94.5844824,39.1007486,Call for Rent,https://www.apartments.com/market-station-kansas-city-mo/gekkl5z/,apartment
111,"5400 N Summit St, Kansas City, MO 64118",-94.590217,39.199552,"$1,240 - 2,020",https://www.apartments.com/unicorn-apartments-ferrelview-mo/56lts3n/,apartment
112,"8787 NW Prairie View Rd, Kansas City, MO 64153",-94.66100009426788,39.24844593461944,"$955 - 1,425",https://www.apartments.com/meadowood-apartments-kansas-city-mo/88sdx83/,apartment
113,"5417 E 96th Pl, Kansas City, MO 64137",-94.5263995060224,38.94996224824098,$900,https://www.apartments.com/park-lofts-kansas-city-mo/fvnqv2r/,apartment
114,"900-912 E 29th St, Kansas City, MO 64109",-94.560533,39.0737568,"$1,035",https://www.apartments.com/lakeside-village-kansas-city-mo/xed4fvm/,apartment
115,"929 Jefferson St, Kansas City, MO 64105",-94.5919012690531,39.1028297,"$857 - 1,370",https://www.apartments.com/51-main-kansas-city-mo/fp076dv/,apartment
116,"2121 Central St, Kansas City, MO 64108",-94.58731485496565,39.08738875,"$925 - 1,750",https://www.apartments.com/the-maxwell-kansas-city-mo/ht3rv82/,apartment
117,"910 Pennsylvania Ave, Kansas City, MO 64105",-94.59128344999999,39.10335135,"$775 - 1,754",https://www.apartments.com/calico-farms-kansas-city-mo/qkqe12y/,apartment
118,"11418 Blue Ridge Blvd, Kansas City, MO 64134",-94.51220939747951,38.91648015077846,$800 - 830,https://www.apartments.com/1-twenty-two-at-63rd-kansas-city-mo/58tthhn/,apartment
119,"108 NW 63rd St, Kansas City, MO 64118",-94.592545,39.209693,$825 - 925,https://www.apartments.com/910-penn-kansas-city-mo/74ddp9x/,apartment
120,"715 Armour Rd, Kansas City, MO 64116",-94.5761466,39.142194,"$935 - 1,205",https://www.apartments.com/casa-loma-kansas-city-mo/bfjpcjb/,apartment
121,"11337 Calico Dr, Kansas City, MO 64137",-94.55409801342282,38.91953902013422,$775,https://www.apartments.com/pinehurst-kansas-city-mo/skphjc6/,apartment
122,"323 W 8th St, Kansas City, MO 64105",-94.58710056605676,39.104432450000004,"$1,200 - 1,400",https://www.apartments.com/the-kc-high-line-kansas-city-mo/3ew4kbg/,apartment
123,"929 Jefferson St, Kansas City, MO 64105",-94.5919012690531,39.1028297,$669 - 870,https://www.apartments.com/kinsley-forest-kansas-city-mo/zc72kez/,apartment
124,"5700 N Main St, Gladstone, MO 64118",-94.581367,39.212149,$977,https://www.apartments.com/artisan-kc-kansas-city-mo/hw893h3/,apartment
125,"5050 Main St, Kansas City, MO 64112",-94.58759467852039,39.0354179,"$1,422 - 2,233",https://www.apartments.com/45-madison-apartments-kansas-city-mo/5b5t02q/,apartment
126,"1601 NW 38th St, Kansas City, MO 64116",-94.5993844,39.1628278,"$1,326 - 1,584",https://www.apartments.com/the-landing-at-briarcliff-apartments-kansas-city-mo/hrjkz62/,apartment
127,"7909 N Granby Ave, Kansas City, MO 64151",-94.62530669248855,39.23825265,"$880 - 1,145",https://www.apartments.com/the-bicycle-club-kansas-city-mo/e9wzb9m/,apartment
128,"4515 Walnut St, Kansas City, MO 64111",-94.58442984075484,39.0444715,"$1,125 - 1,375",https://www.apartments.com/fairfax-lofts-kansas-city-mo/q5nrjlw/,apartment
129,"240 W 2nd St, Kansas City, MO 64105",-94.5859674,39.1102694,"$1,468 - 3,068",https://www.apartments.com/the-historic-residences-at-dutch-hill-kansas-city-mo/nn65m5q/,apartment
130,"8418 N Overland Ct, Kansas City, MO 64154",-94.641042,39.198508,$915,https://www.apartments.com/zona-rosa-kansas-city-mo/d7rx3vk/,apartment
131,"4445 Madison Ave, Kansas City, MO 64111",-94.59680962714563,39.04732815,"$1,291 - 2,336",https://www.apartments.com/quality-hill-towers-kansas-city-mo/915rrs7/,apartment
