,Address,Latitude,Longitude,Type
180,"3838 Rainbow Blvd, Kansas City, KS 66103",39.0603642,-94.6130822,Apartment
181,"1105 S Brookside Ave, Independence, MO 64053",39.09596329,-94.46867668,Apartment
182,"6731 E 119th St, Grandview, MO 64030",38.90813964,-94.51313917,Apartment
183,"3813 Duck Rd, Grandview, MO 64030",38.89533687,-94.54447913,Apartment
184,"3100 Quail Creek Dr, Independence, MO 64055",39.0383098,-94.3966332,Apartment
185,"4430 S Liberty Ave, Independence, MO 64055",39.04052146,-94.41970398,Apartment
186,"14902 Grand Summit Blvd, Grandview, MO 64030",38.85628932,-94.51675198,Apartment
187,"1136 W College St, Liberty, MO 64068",39.24637212,-94.43720652,Apartment
188,"11809 E 83rd St, Raytown, MO 64138",38.9728785,-94.4744182,Apartment
189,"41 NE 60th Ter, Gladstone, MO 64118",39.20366946,-94.58054656,Apartment
190,"Kansas City, MO 64112",39.100105,-94.5781416,Apartment
191,"Kansas City, MO 64151",39.100105,-94.5781416,Apartment
192,"Kansas City, MO 64151",39.100105,-94.5781416,Apartment
193,"Kansas City, MO 64105",39.100105,-94.5781416,Apartment
194,"Kansas City, MO 64111",39.100105,-94.5781416,Apartment
195,"Kansas City, MO 64108",39.100105,-94.5781416,Apartment
196,"Kansas City, MO 64111",39.100105,-94.5781416,Apartment
197,"3724-3732 Locust St, Kansas City, MO 64109",39.0591247,-94.580122,Apartment
198,"3724-3732 Locust St, Kansas City, MO 64109",39.0591247,-94.580122,Apartment
199,"4609 Wallace, Kansas City, MO 64129",39.03967122,-94.48630222,Apartment
200,"4609 Wallace, Kansas City, MO 64129",39.03967122,-94.48630222,Apartment
201,"1109 N Scott Ave, Belton, MO 64012",38.83409851,-94.53341994,Apartment
202,"1109 N Scott Ave, Belton, MO 64012",38.83409851,-94.53341994,Apartment
203,"520 E Armour Blvd, Kansas City, MO 64109",39.06408365,-94.57893018,Apartment
204,"520 E Armour Blvd, Kansas City, MO 64109",39.06408365,-94.57893018,Apartment
205,"4311-4319 Roanoke Pky, Kansas City, MO 64111",39.061863,-94.603125,Apartment
206,"4311-4319 Roanoke Pky, Kansas City, MO 64111",39.061863,-94.603125,Apartment
207,"420 E Armour Blvd, Kansas City, MO 64109",39.06387745,-94.58007881,Apartment
208,"420 E Armour Blvd, Kansas City, MO 64109",39.06387745,-94.58007881,Apartment
209,"3924 Warwick Blvd, Kansas City, MO 64111",39.05554805,-94.58418271,Apartment
210,"3924 Warwick Blvd, Kansas City, MO 64111",39.05554805,-94.58418271,Apartment
211,"801 E Armour Blvd, Kansas City, MO 64109",39.06312345,-94.57490188,Apartment
212,"801 E Armour Blvd, Kansas City, MO 64109",39.06312345,-94.57490188,Apartment
213,"100-118 W Armour Blvd, Kansas City, MO 64111",39.06387,-94.58792,Apartment
214,"100-118 W Armour Blvd, Kansas City, MO 64111",39.06387,-94.58792,Apartment
215,"3240-3244 Harrison St, Kansas City, MO 64109",39.0672393,-94.57350406,Apartment
216,"3240-3244 Harrison St, Kansas City, MO 64109",39.0672393,-94.57350406,Apartment
217,"10561 Cypress Ave, Kansas City, MO 64137",38.93224833,-94.53592891,Apartment
